graph_type,n_requested,d_requested,seed,n,m,avg_degree,components,largest_component,density,theory_greedy,theory_optimum,theory_greedy_fraction,theory_optimum_fraction,greedy_method,greedy_size,greedy_status,greedy_runtime_seconds,greedy_objective_bound,greedy_mip_gap,greedy_message,ip_method,ip_size,ip_status,ip_runtime_seconds,ip_objective_bound,ip_mip_gap,ip_message
er,20,4.0,0,20,30,3.0,1,20,0.15789473684210525,6.931471805599453,13.862943611198906,0.34657359027997264,0.6931471805599453,repeated_greedy,10,feasible,0.0002532909999999333,,,,ip_scipy,10,optimal,0.32346729100000005,10.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
er,20,4.0,1,20,41,4.1,1,20,0.21578947368421053,6.931471805599453,13.862943611198906,0.34657359027997264,0.6931471805599453,repeated_greedy,9,feasible,0.0002617919999998719,,,,ip_scipy,9,optimal,0.003121458000000743,9.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
er,30,4.0,0,30,49,3.2666666666666666,2,29,0.11264367816091954,10.39720770839918,20.79441541679836,0.34657359027997264,0.6931471805599453,repeated_greedy,13,feasible,0.0003380830000008217,,,,ip_scipy,13,optimal,0.002153542000000286,13.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
er,30,4.0,1,30,62,4.133333333333334,1,30,0.1425287356321839,10.39720770839918,20.79441541679836,0.34657359027997264,0.6931471805599453,repeated_greedy,12,feasible,0.0003575419999997109,,,,ip_scipy,12,optimal,0.006732416999998492,12.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
